jak mohu říci velmi děkuji v čínštině	translate
Potřebuji vědět, jak pozdravit ve Francii	translate
řekl byste mi, jak se rozloučit ve francii	translate
jak se řekne ahoj v Mexiku	translate
řekni mi, jak pozdravit v chile	translate
Chci vědět, jak se rozloučit ve Francii	translate
přeložil byste mi prosím větu do ruštiny	translate
přeložil byste mi frázi do mandarínštiny	translate
můžete mi toto jméno přeložit do španělštiny, prosím	translate
převeďte deset dolarů z mého účtu Wells Fargo na můj účet v americké bance	transfer
vezměte si sto padesát babek z mého běžného účtu Wells Fargo a vložte je na můj spořicí účet Wells Fargo	transfer
dát sto sedmdesát pět babek na můj běžný účet studny fargo z mého spořícího účtu v citibank	transfer
přesunout dvě stě dolarů na můj spořicí účet na můj běžný účet studny fargo	transfer
přesunout tři sta padesát dolarů z mého spořicího účtu v citibank na můj spořicí účet	transfer
přesunout dolar z mých šeků na mé úspory	transfer
přesunout peníze na druhý účet	transfer
převést peníze na druhý účet	transfer
vytvořit nový časovač	timer
chtěl bych nastavit nový časovač	timer
prosím pomozte mi nastavit časovač	timer
Časovač by měl být nastaven na 10 minut	timer
časovač by měl mít nastaveno 10 minut	timer
10 minut je nastavení časovače	timer
časovač se počítá na 10 minut	timer
nastavte časovač na 10 minut	timer
můžete nastavit časovač na 30 sekund	timer
